user_id,item_id,rating,completed,timestamp
emp_101,act_box_breathing,5.0,1,2026-08-15T10:00:00
emp_101,act_grounding_54321,4.5,1,2026-08-16T14:30:00
emp_101,act_pomodoro_reset,4.0,1,2026-08-17T09:15:00
emp_102,act_cognitive_reframing,5.0,1,2026-08-14T11:00:00
emp_102,act_venting_burn_journal,4.0,1,2026-08-16T17:00:00
emp_102,act_walking_meeting_reset,4.5,1,2026-08-18T12:30:00
emp_103,act_physiological_sigh,5.0,1,2026-08-15T15:20:00
emp_103,act_box_breathing,4.5,1,2026-08-16T16:00:00
emp_103,act_breathing_478,5.0,1,2026-08-17T11:30:00
emp_104,act_gratitude_journal,5.0,1,2026-08-14T09:00:00
emp_104,act_celebration_milestone_log,5.0,1,2026-08-16T16:45:00
emp_104,act_peer_connection_coffee,4.5,1,2026-08-18T15:00:00
emp_105,act_eap_counseling_support,5.0,1,2026-08-10T14:00:00
emp_105,act_boundary_setting_protocol,4.5,1,2026-08-12T16:30:00
emp_105,act_grounding_54321,4.0,1,2026-08-15T10:30:00
emp_106,act_progressive_muscle_relaxation,4.5,1,2026-08-14T18:00:00
emp_106,act_mindful_soundscape,5.0,1,2026-08-16T19:30:00
emp_106,act_guided_body_scan,4.0,1,2026-08-17T20:00:00
emp_107,act_desk_stretch_ergonomics,4.5,1,2026-08-15T11:00:00
emp_107,act_pomodoro_reset,4.0,1,2026-08-16T15:00:00
emp_108,act_manager_alignment_sync,5.0,1,2026-08-14T10:00:00
emp_108,act_boundary_setting_protocol,4.5,1,2026-08-16T11:30:00
emp_109,act_music_uplift_playlist,4.5,1,2026-08-15T13:00:00
emp_109,act_self_compassion_pause,5.0,1,2026-08-17T14:30:00
emp_110,act_team_recognition_share,5.0,1,2026-08-16T17:00:00
emp_110,act_gratitude_journal,4.5,1,2026-08-18T09:30:00
